version,match_id,list_date,competition,match,selected_team,selected_side,line,water,grade,score,result_state,result,pnl_1u,result_source,settlement_status,decision_id,run_id,model_id,quote_at,last_confirmed_at,kickoff_at,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch
V4_SHADOW,3012300,2026-09-16,俄超,加里宁格勒波罗的海 vs 圣彼得堡泽尼特,加里宁格勒波罗的海,receiving,0.5,1.0,C,2-3,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,2725f9af34065481f44d,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T01:45:00+08:00,1.908,False,True
V4_SHADOW,3089124,2026-09-16,阿后备,飓风后备队 vs 基尔梅斯后备队,基尔梅斯后备队,giving,-0.25,1.11,C,1-0,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,74b10f7b81bce66e16b2,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T02:00:00+08:00,2.158,False,True
V4_SHADOW,3069017,2026-09-16,亚冠联2,赖扬 vs 阿尔费萨里安曼,赖扬,giving,-1.5,0.9,C,4-3,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,8e91eaff13c15f909dd5,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T02:15:00+08:00,2.408,False,True
V4_SHADOW,3072967,2026-09-16,英联杯,埃弗顿 vs 狼队,埃弗顿,giving,-1.25,1.01,C,1-0,-1,HL,-0.5,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,554fd69d25cadef5fa03,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T02:45:00+08:00,2.908,False,True
V4_SHADOW,3072968,2026-09-16,英联杯,弗利特伍德 vs 谢菲尔德联队,弗利特伍德,receiving,0.75,1.06,C,1-0,-1,W,1.06,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,caec1848cd87169876fc,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T02:45:00+08:00,2.908,False,True
V4_SHADOW,3073776,2026-09-16,欧罗巴杯,桑德兰 vs 阿尔克马尔,桑德兰,giving,-1.25,1.09,C,1-0,-1,HL,-0.5,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,6fa2c8325a383f7f028d,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T03:00:00+08:00,3.158,False,True
V4_SHADOW,3073784,2026-09-16,欧罗巴杯,奥林匹亚科斯 vs 比亚韦斯托克雅盖隆,奥林匹亚科斯,giving,-1.5,0.8,C,2-1,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,6c4f668ac7d248ca9474,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T03:00:00+08:00,3.158,False,True
V4_SHADOW,3075280,2026-09-16,欧罗巴杯,贝尔谢巴夏普尔 vs 萨格勒布迪纳摩,萨格勒布迪纳摩,giving,-0.75,1.04,C,0-0,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,73f1166e6c0ec7b625db,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T03:00:00+08:00,3.158,False,True
V4_SHADOW,3013698,2026-09-16,西甲,莱万特 vs 毕尔巴鄂竞技,莱万特,receiving,0.25,1.03,C,,-14,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,NOT_FINAL_STATE_-14,ece86d25e23e3ef85d3e,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T03:30:00+08:00,3.658,False,True
V4_SHADOW,3071676,2026-09-16,厄瓜乙,库恩卡青年 vs 圣安东尼奥(ECU),库恩卡青年,giving,-0.75,1.03,C,1-0,-1,HW,0.515,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,704ddf13439f4c09b261,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T04:30:00+08:00,4.658,False,True
V4_SHADOW,2942617,2026-09-16,美冠联,哈特福德竞技 vs 运动Jax,哈特福德竞技,giving,-1.25,0.99,C,,2,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,NOT_FINAL_STATE_2,e924f6927ad2c07fa77f,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T06:00:00+08:00,6.158,False,True
V4_SHADOW,2957047,2026-09-16,美女职,丹佛峰会女足 vs 海湾FC女足,海湾FC女足,receiving,1.0,0.86,C,,0,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,NOT_FINAL_STATE_0,497becf15fa198ded1b5,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T09:30:00+08:00,9.658,False,True
V4_SHADOW,3068863,2026-09-16,亚冠精英,全北现代 vs 柏太阳神,全北现代,receiving,0.25,1.01,C,2-1,-1,W,1.01,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,b566e48fac66a0cdc8b4,RUN_20260916_205341,v4-market-dirichlet-20260913,2026-09-16T08:28:48+08:00,2026-09-16T20:49:42+08:00,2026-09-16T18:00:00+08:00,-2.828,False,False
V4_SHADOW,3089178,2026-09-16,意丁,热带科里亚诺 vs 伦蒂吉奥,热带科里亚诺,receiving,0.75,1.0,C,1-2,-1,HL,-0.5,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,fba7524f7435a137ab13,RUN_20260916_205341,v4-market-dirichlet-20260913,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,2026-09-16T21:00:00+08:00,0.172,False,True
V4_SHADOW,3089181,2026-09-16,意丁,瓜沃兰纳 vs 基维扎诺,基维扎诺,receiving,0.25,1.04,C,1-0,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,863a069252ebe8cfc36a,RUN_20260916_205341,v4-market-dirichlet-20260913,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,2026-09-16T21:00:00+08:00,0.172,False,True
V4_SHADOW,3075226,2026-09-16,捷克杯,卡拉路夫 vs 布尔诺,布尔诺,giving,-2.0,0.84,C,0-3,-1,W,0.84,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,95f5037daecc028d5443,RUN_20260916_205341,v4-market-dirichlet-20260913,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,2026-09-16T22:00:00+08:00,1.172,False,True
V4_SHADOW,3089182,2026-09-16,意丁,卢捷斯 vs 普罗格雷索足球,普罗格雷索足球,receiving,1.0,0.89,C,5-0,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,e15f7faeec17d3285421,RUN_20260916_205341,v4-market-dirichlet-20260913,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,2026-09-16T22:00:00+08:00,1.172,False,True
V4_SHADOW,3059460,2026-09-16,埃及超,恩比(中) vs 金字塔,恩比(中),receiving,1.0,0.94,C,,0,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,NOT_FINAL_STATE_0,bf5c1c57b023a85a2058,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T01:00:00+08:00,1.158,False,True
