日期,国家,层级,赛事,比赛,比分,状态,盘口档位,候选标签,赛事级样本,赛事级正向胜率,赛事级反向胜率,赛事级胜率高方,盘口标签样本,盘口标签正向胜率,盘口标签反向胜率,盘口标签胜率高方,HTML最终方向,HTML正期望方球队,HTML选中胜率,HTML选中水位,水位阈值,HTML是否可投,HTML原因
2026-08-28,意大利,次次级,意丙,卡萨拉诺 vs 久加连奴,卡萨拉诺4-3久加连奴,已结算,平手/半球,诱上/阻下,5,样本不足<8,样本不足<8,不投,3,样本不足<8,样本不足<8,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,意大利,次次级,意丙,巴勒塔 vs 巴里,巴勒塔3-0巴里,已结算,平手/半球,阻上/降温保护,5,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,意大利,次次级,意丙,斯卡法塔森 vs AZ皮切尔诺,斯卡法塔森0-2AZ皮切尔诺,已结算,平手/半球,诱上/阻下,6,样本不足<8,样本不足<8,不投,4,样本不足<8,样本不足<8,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,意大利,次次级,意丙,皮阿尼斯 vs 瓦多,皮阿尼斯0-0瓦多,已结算,平手/半球,平衡盘/等待临场确认,5,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,法国,顶级,法甲,里尔 vs 巴黎圣日耳曼,里尔2-2巴黎圣日耳曼,已结算,半球/一球,诱上/阻下,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,英格兰,次级,英冠,雷克瑟姆 vs 伯明翰,雷克瑟姆1-2伯明翰,已结算,平手/半球,平衡盘/等待临场确认,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,英格兰,顶级,英超,水晶宫 vs 曼彻斯特城,水晶宫1-4曼彻斯特城,已结算,半球/一球,降温保护/诱下,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,西班牙,次级,西乙,特内里费 vs 希洪竞技,特内里费0-1希洪竞技,已结算,平手/半球,平衡盘/等待临场确认,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,西班牙,次次级,西协甲,卡些连奴 vs 米兰德斯,卡些连奴1-0米兰德斯,已结算,平手/半球,阻上/诱下,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,西班牙,顶级,西甲,阿拉维斯 vs 比利亚雷亚尔,阿拉维斯1-0比利亚雷亚尔,已结算,平手/半球,平衡盘/等待临场确认,5,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
