日期,赛事,比赛分类,比赛,赛果,比分来源,模拟ID,市场框架,即时亚盘,盘口线,盘口档位,上盘方,候选标签,候选依据,候选映射方向,意图水位,意图结算,意图盈亏单位,意图均注盈亏,反向方向,反向水位,反向结算,反向盈亏单位,反向均注盈亏,有真实投注量,Polymarket/交易所情绪,流动性,开赛时间,比赛ID,赛事原始,国家,层级,五大地区筛选,是否有效亚盘结算
2026-08-25,英联杯,国内杯赛,唐卡斯特 vs 米德尔斯堡,1-3,ledger赛果兜底,20260825-TITAN-3062767-盘口快照-不形成模拟,盘口快照-不形成模拟,0.79/-1.0/1.03,-1.0,一球,客队,阻上/诱下,客队上盘，让球加深，上盘水位1.03，下盘水位0.79，欧赔变化不大,上盘,1.03,赢,1.0,1.03,下盘,0.79,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062767,英联杯,英格兰,杯赛,是,True
2026-08-25,英联杯,国内杯赛,弗利特伍德 vs 什鲁斯伯里,4-0,ledger赛果兜底,20260825-TITAN-3062768-盘口快照-不形成模拟,盘口快照-不形成模拟,1.04/0.5/0.78,0.5,半球,主队,阻上/降温保护,主队上盘，让球基本稳定，上盘水位1.04，下盘水位0.78，欧赔变化不大,不计-候选冲突,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062768,英联杯,英格兰,杯赛,是,False
2026-08-25,英联杯,国内杯赛,伊普斯维奇 vs 莱斯特城,3-1,ledger赛果兜底,20260825-TITAN-3062770-盘口快照-不形成模拟,盘口快照-不形成模拟,0.83/1.0/0.99,1.0,一球,主队,诱上/阻下,主队上盘，让球加深，上盘水位0.83，下盘水位0.99，欧赔支持上盘,下盘,0.99,输,-1.0,-1.0,上盘,0.83,赢,1.0,0.83,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062770,英联杯,英格兰,杯赛,是,True
2026-08-25,英联杯,国内杯赛,诺丁汉森林 vs 利兹联,0-2,ledger赛果兜底,20260825-TITAN-3062772-盘口快照-不形成模拟,盘口快照-不形成模拟,0.81/0.25/1.01,0.25,平手/半球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.81，下盘水位1.01，欧赔支持上盘,下盘,1.01,赢,1.0,1.01,上盘,0.81,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062772,英联杯,英格兰,杯赛,是,True
2026-08-25,英联杯,国内杯赛,谢周三 vs 狼队,0-2,ledger赛果兜底,20260825-TITAN-3062774-盘口快照-不形成模拟,盘口快照-不形成模拟,0.81/-1.0/1.01,-1.0,一球,客队,阻上/诱下,客队上盘，让球加深，上盘水位1.01，下盘水位0.81，欧赔变化不大,上盘,1.01,赢,1.0,1.01,下盘,0.81,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062774,英联杯,英格兰,杯赛,是,True
2026-08-25,英联杯,国内杯赛,南安普敦 vs 西汉姆联,1-4,ledger赛果兜底,20260825-TITAN-3062775-盘口快照-不形成模拟,盘口快照-不形成模拟,0.88/0.0/0.94,0.0,平手,主队,平衡盘/等待临场确认,主队上盘，让球基本稳定，上盘水位0.88，下盘水位0.94，欧赔支持上盘,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062775,英联杯,英格兰,杯赛,是,False
2026-08-25,英联杯,国内杯赛,斯蒂文尼奇 vs 雷丁,0-3,ledger赛果兜底,20260825-TITAN-3062776-盘口快照-不形成模拟,盘口快照-不形成模拟,0.98/0.25/0.84,0.25,平手/半球,主队,诱下/上盘降温,主队上盘，让球基本稳定，上盘水位0.98，下盘水位0.84，欧赔变化不大,上盘,0.98,输,-1.0,-1.0,下盘,0.84,赢,1.0,0.84,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062776,英联杯,英格兰,杯赛,是,True
2026-08-25,英联杯,国内杯赛,斯托克城 vs 赫尔城,1-1,ledger赛果兜底,20260825-TITAN-3062777-盘口快照-不形成模拟,盘口快照-不形成模拟,1.02/0.0/0.8,0.0,平手,客队,真实示弱/阻下,客队上盘，让球退盘，上盘水位0.80，下盘水位1.02，欧赔削弱上盘,下盘,1.02,走,-0.0,0.0,上盘,0.8,走,0.0,0.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062777,英联杯,英格兰,杯赛,是,True
2026-08-25,英联杯,国内杯赛,沃尔索尔 vs 莱顿东方,0-0,ledger赛果兜底,20260825-TITAN-3062779-盘口快照-不形成模拟,盘口快照-不形成模拟,0.92/-0.25/0.9,-0.25,平手/半球,客队,平衡盘/等待临场确认,客队上盘，让球基本稳定，上盘水位0.90，下盘水位0.92，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062779,英联杯,英格兰,杯赛,是,False
2026-08-25,英联杯,国内杯赛,沃特福德 vs 彼得堡联,1-5,ledger赛果兜底,20260825-TITAN-3062780-盘口快照-不形成模拟,盘口快照-不形成模拟,1.01/1.0/0.81,1.0,一球,主队,诱下/上盘降温,主队上盘，让球基本稳定，上盘水位1.01，下盘水位0.81，欧赔变化不大,上盘,1.01,输,-1.0,-1.0,下盘,0.81,赢,1.0,0.81,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062780,英联杯,英格兰,杯赛,是,True
