分组类型,分组,已结算投注数,胜率,负率,盈亏Unit,ROI,红,红半,走水,黑半,黑
盘口档位+标签,两球半/三球 / 诱上/阻下,1,1.0000,0.0000,0.4200,0.4200,0,1,0,0,0
微观板块+盘口档位+标签,欧洲五大 / 两球半/三球 / 诱上/阻下,1,1.0000,0.0000,0.4200,0.4200,0,1,0,0,0
赛事,欧冠杯,1,1.0000,0.0000,0.4100,0.8200,1,0,0,0,0
赛事+标签,欧冠杯 / 诱上/阻下,1,1.0000,0.0000,0.4100,0.8200,1,0,0,0,0
赛事,哥伦甲秋,1,1.0000,0.0000,0.3950,0.3950,0,1,0,0,0
赛事+标签,哥伦甲秋 / 诱上/阻下,1,1.0000,0.0000,0.3950,0.3950,0,1,0,0,0
盘口档位+标签,半球 / 降温保护/诱下,2,0.5000,0.5000,0.3500,0.3583,1,0,0,0,1
赛事+标签,捷乙 / 降温保护/诱下,2,0.5000,0.5000,0.3500,0.3583,1,0,0,0,1
微观板块+盘口档位+标签,欧洲非五大 / 半球 / 降温保护/诱下,2,0.5000,0.5000,0.3500,0.3583,1,0,0,0,1
盘口档位+标签,平手/半球 / 降温保护/诱下,2,0.5000,0.5000,0.3400,0.2267,1,0,0,0,1
微观板块+标签,拉美 / 诱下/上盘降温,3,0.6667,0.3333,0.3350,0.0350,1,1,0,0,1
盘口档位,一球/球半,2,0.5000,0.5000,0.3200,0.2865,1,0,0,0,1
盘口档位+标签,一球 / 诱上/阻下,4,0.6667,0.3333,0.3150,0.1335,2,0,1,0,1
微观板块+盘口档位+标签,欧洲非五大 / 一球 / 诱上/阻下,3,0.6667,0.3333,0.3150,0.2100,2,0,0,0,1
赛事+标签,冰岛甲 / 诱上/阻下,1,1.0000,0.0000,0.2100,0.4200,0,1,0,0,0
赛事+标签,捷甲 / 诱上/阻下,1,1.0000,0.0000,0.2025,0.4050,0,1,0,0,0
微观板块+盘口档位+标签,欧洲五大 / 平手/半球 / 阻上/诱下,5,0.4000,0.6000,0.1350,0.0549,2,0,0,2,1
赛事,丹麦杯,4,0.5000,0.5000,0.1200,0.0737,2,0,0,0,2
赛事+标签,丹麦杯 / 诱上/阻下,4,0.5000,0.5000,0.1200,0.0737,2,0,0,0,2
微观板块+标签,欧洲非五大 / 阻上/诱下,2,0.5000,0.5000,0.0400,0.0400,1,0,0,0,1
赛事+标签,英超 / 诱上/阻下,1,,,0.0000,0.0000,0,0,1,0,0
微观板块+盘口档位+标签,欧洲五大 / 一球 / 诱上/阻下,1,,,0.0000,0.0000,0,0,1,0,0
赛事,乌拉杯,5,0.6000,0.4000,-0.0050,-0.0435,2,1,0,0,2
赛事,捷甲,2,0.5000,0.5000,-0.0475,-0.0475,0,1,0,1,0
比赛分类+标签,成年联赛T1 / 诱上/阻下,7,0.6667,0.3333,-0.0575,-0.1226,1,3,1,0,2
微观板块+盘口档位+标签,欧洲五大 / 半球/一球 / 诱上/阻下,2,0.5000,0.5000,-0.0750,-0.2148,0,1,0,0,1
盘口档位+标签,平手/半球 / 诱下/上盘降温,5,0.4000,0.6000,-0.1300,-0.1346,2,0,0,2,1
赛事,捷乙,3,0.3333,0.6667,-0.1500,0.0731,1,0,0,0,2
微观板块+标签,欧洲非五大 / 降温保护/诱下,3,0.3333,0.6667,-0.1500,0.0731,1,0,0,0,2
赛事,阿乙曼特秋,2,0.5000,0.5000,-0.1600,-0.0800,1,0,0,0,1
赛事+标签,阿乙曼特秋 / 诱上/阻下,2,0.5000,0.5000,-0.1600,-0.0800,1,0,0,0,1
赛事+标签,捷甲 / 诱下/上盘降温,1,0.0000,1.0000,-0.2500,-0.5000,0,0,0,1,0
赛事,冰岛甲,2,0.5000,0.5000,-0.2900,-0.2900,0,1,0,0,1
赛事,哥伦乙秋,2,0.5000,0.5000,-0.3000,-0.3000,0,1,0,0,1
赛事+标签,哥伦乙秋 / 诱上/阻下,2,0.5000,0.5000,-0.3000,-0.3000,0,1,0,0,1
微观板块+盘口档位+标签,拉美 / 平手 / 诱上/阻下,5,0.5000,0.5000,-0.4400,-0.0880,2,0,1,0,2
赛事,俄甲,2,0.5000,0.5000,-0.5000,-0.4684,1,0,0,0,1
赛事,克亚甲,1,0.0000,1.0000,-0.5000,-1.0000,0,0,0,0,1
赛事,丹麦甲,1,0.0000,1.0000,-0.5000,-1.0000,0,0,0,0,1
赛事,英冠,1,0.0000,1.0000,-0.5000,-0.5000,0,0,0,1,0
盘口档位+标签,一球/球半 / 诱下/上盘降温,1,0.0000,1.0000,-0.5000,-1.0000,0,0,0,0,1
盘口档位+标签,一球 / 阻上/诱下,1,0.0000,1.0000,-0.5000,-1.0000,0,0,0,0,1
盘口档位+标签,平手 / 诱下/上盘降温,1,0.0000,1.0000,-0.5000,-1.0000,0,0,0,0,1
赛事+标签,欧女杯 / 诱上/阻下,1,0.0000,1.0000,-0.5000,-1.0000,0,0,0,0,1
赛事+标签,法甲 / 诱上/阻下,1,0.0000,1.0000,-0.5000,-1.0000,0,0,0,0,1
赛事+标签,冰岛甲 / 降温保护/诱下,1,0.0000,1.0000,-0.5000,-1.0000,0,0,0,0,1
赛事+标签,克亚甲 / 诱下/上盘降温,1,0.0000,1.0000,-0.5000,-1.0000,0,0,0,0,1
赛事+标签,丹麦甲 / 阻上/诱下,1,0.0000,1.0000,-0.5000,-1.0000,0,0,0,0,1
赛事+标签,比乙 / 诱下/上盘降温,1,0.0000,1.0000,-0.5000,-1.0000,0,0,0,0,1
赛事+标签,英冠 / 阻上/诱下,1,0.0000,1.0000,-0.5000,-0.5000,0,0,0,1,0
赛事+标签,捷乙 / 诱上/阻下,1,0.0000,1.0000,-0.5000,-1.0000,0,0,0,0,1
微观板块+盘口档位+标签,欧洲非五大 / 一球/球半 / 诱下/上盘降温,1,0.0000,1.0000,-0.5000,-1.0000,0,0,0,0,1
