统计日期,数据源,地区,国家,赛事层级,水位分层,样本,红,红半,走水,黑半,黑,有效胜率,负率,均注盈亏Unit,平均水位,ROI,备注
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,未识别,杯赛,0.91-1.00,3,2,0,0,1,0,0.8000,0.2000,0.7000,0.9433,0.4667,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,未识别,洲际杯赛,0.81-0.90,1,1,0,0,0,0,1.0000,0.0000,0.4100,0.8200,0.8200,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,未识别,非顶级联赛,0.91-1.00,1,0,0,0,0,1,0.0000,1.0000,-1.0000,0.9500,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,未识别,顶级联赛,0.81-0.90,1,0,0,0,0,1,0.0000,1.0000,-0.5000,0.8600,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,比利时,非顶级联赛,0.71-0.80,1,0,0,0,0,1,0.0000,1.0000,-1.0000,0.7700,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,比利时,非顶级联赛,0.91-1.00,1,0,0,0,0,1,0.0000,1.0000,-0.5000,0.9900,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,比利时,非顶级联赛,<=0.70,1,0,0,0,0,1,0.0000,1.0000,-1.0000,0.6600,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,比利时,顶级联赛,0.81-0.90,1,1,0,0,0,0,1.0000,0.0000,0.8600,0.8600,0.8600,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,瑞典,杯赛,0.81-0.90,1,1,0,0,0,0,1.0000,0.0000,0.8400,0.8400,0.8400,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,罗马尼亚,洲际杯赛,0.81-0.90,3,3,0,0,0,0,1.0000,0.0000,2.4700,0.8233,0.8233,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,荷兰,顶级联赛,1.01-1.10,1,1,0,0,0,0,1.0000,0.0000,0.5400,1.0800,1.0800,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,葡萄牙,顶级联赛,0.81-0.90,1,1,0,0,0,0,1.0000,0.0000,0.4300,0.8600,0.8600,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
