统计日期,数据源,日期,开赛时间,比赛ID,赛事,比赛,比赛分类,微观板块,国家,赛事层级,盘口,水位分层,倾向意图,阻诱目标侧,理论资金主队占比,理论资金客队占比,实际资金主队占比,实际资金客队占比,资金偏离主队,资金偏离客队,资金过热侧,过热阈值,理论占比依据,实际资金流向,目标侧水位甜头,意图成败,资金流修正方向,资金流修正球队,资金流来源,资金流时间戳,动作,选择方向,投注盘向,投注球队,选中水位,综合胜率,盈亏平衡胜率,通过阈值,同档样本,同档选中胜率,风控状态,仓位系数,下注金额,已结算,结算标签,实际盈亏Unit,实际盈亏金额,赛果,比分来源,即时亚盘,盘口线,上盘方,候选映射方向,反向方向,候选依据,原模拟ID,记录口径
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-25,2026-8-26 05:30,3067093,巴拉甲秋,五月二日体育会 vs 亚松森瓜拉尼,,南美系列,未识别,未知分类,平手,0.81-0.90,诱上/阻下,,,,,,,,,,,,,,,,,,反向,,平手/待核,亚松森瓜拉尼,0.83,0.569,,0.566448087431694,,,,,,是,走水,0.0,,0-0,原页面赛果留底,开 1.02/0.0/0.8 → 即 1.05/0.0/0.83,0.0,,,,,20260825-TITAN-3067093-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-25,2026-8-26 06:00,2916529,阿乙,玛德恩 vs 戈多伊克鲁斯,,南美系列,阿根廷,未知分类,半球,0.91-1.00,真实示强/阻上,,,,,,,,,,,,,,,,,,正向,,上盘,玛德恩,0.93,0.539,,0.5381347150259067,,,,,,是,红,0.93,,2-0,原页面赛果留底,开 0.99/0.25/0.77 → 即 0.93/0.5/0.89,-0.5,,,,,20260825-TITAN-2916529-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-25,2026-8-26 07:00,2934764,阿乙曼特秋,伊希库斯尼斯塔史 vs 梅洛小阿根廷,,南美系列,阿根廷,未知分类,一球,0.91-1.00,真实示强/阻上,,,,,,,,,,,,,,,,,,正向,,上盘,伊希库斯尼斯塔史,0.96,0.539,,0.5302040816326531,,,,,,否,待结算,,,1-0,原页面赛果留底,开 0.73/0.5/0.97 → 即 0.96/1.0/0.74,-1.0,,,,,20260825-TITAN-2934764-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-25,2026-8-26 08:30,3063448,解放者杯,山谷独立 vs 托利马体育,,南美系列,未识别,洲际杯赛,一球/球半,>1.10,阻上/诱下,,,,,,,,,,,,,,,,,,正向,,上盘,山谷独立,1.11,0.513,,0.4939336492890995,,,,,,是,红,1.11,,3-1,原页面赛果留底,开 0.77/0.75/1.05 → 即 1.11/1.25/0.79,-1.25,,,,,20260825-TITAN-3063448-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-26,2026-8-26 08:30,3063448,解放者杯,山谷独立 vs 托利马体育,,南美系列,未识别,洲际杯赛,一球/球半,>1.10,阻上/诱下,,,,,,,,,,,,,,,,,,正向,,上盘,山谷独立,1.11,0.513,,0.4939336492890995,,,,,,是,红,1.11,,3-1,原页面赛果留底,开 0.77/0.75/1.05 → 即 1.11/1.25/0.79,-1.25,,,,,20260826-TITAN-3063448-赛况更新-不新建赛前模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-25,2026-8-26 08:40,3064424,中北美杯,蒙特雷 vs 芝加哥火焰,,其他系列,中国,杯赛,平手,0.81-0.90,降温保护/诱下,,,,,,,,,,,,,,,,,,正向,,平手/待核,芝加哥火焰,0.82,0.573,,0.5694505494505495,,,,,,是,黑,-1.0,,2-1,原页面赛果留底,开 0.78/-0.25/1.04 → 即 1.06/0.0/0.82,0.0,,,,,20260825-TITAN-3064424-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-26,2026-8-26 08:40,3064424,中北美杯,蒙特雷 vs 芝加哥火焰,,其他系列,中国,杯赛,平手,0.81-0.90,降温保护/诱下,,,,,,,,,,,,,,,,,,正向,,平手/待核,芝加哥火焰,0.82,0.573,,0.5694505494505495,,,,,,是,黑,-1.0,,2-1,原页面赛果留底,开 0.78/-0.25/1.04 → 即 1.06/0.0/0.82,0.0,,,,,20260826-TITAN-3064424-赛况更新-不新建赛前模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-26,2026-8-26 17:30,3069087,日皇杯,名古屋鲸八 vs 鸟取飞翔,,日韩系列,日本,杯赛,两球,1.01-1.10,诱上/阻下,,,,,,,,,,,,,,,,,,正向,,下盘,鸟取飞翔,1.02,0.562,,0.5150495049504951,,,,,,是,红,1.02,,1-3,原页面赛果留底,开 0.8/1.75/0.96 → 即 0.82/2.0/1.02,2.0,,,,,20260826-TITAN-3069087-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-26,2026-8-26 18:00,3063386,日皇杯,今治 vs 秋田蓝色闪电,,日韩系列,日本,杯赛,平手,0.91-1.00,诱上/阻下,,,,,,,,,,,,,,,,,,正向,,平手/待核,秋田蓝色闪电,0.99,0.562,,0.5225125628140703,,,,,,是,黑,-1.0,,4-1,原页面赛果留底,开 1.0/0.0/0.76 → 即 0.83/0.0/0.99,0.0,,,,,20260826-TITAN-3063386-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-26,2026-8-26 18:00,3063388,日皇杯,磐田喜悦 vs 宫崎棒牛鸟,,日韩系列,日本,杯赛,平手,1.01-1.10,诱上/阻下,,,,,,,,,,,,,,,,,,正向,,平手/待核,磐田喜悦,1.02,0.562,,0.5150495049504951,,,,,,是,走水,0.0,,0-0,原页面赛果留底,开 0.79/0.0/0.97 → 即 1.02/0.0/0.82,-0.0,,,,,20260826-TITAN-3063388-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
