统计日期,数据源,地区,国家,赛事层级,盘口,水位分层,倾向意图,样本,红,红半,走水,黑半,黑,有效胜率,负率,均注盈亏Unit,平均水位,ROI,备注
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,其他系列,澳大利亚,未知分类,球半,0.81-0.90,诱上/阻下,1,1,0,0,0,0,1.0,0.0,0.85,0.85,0.85,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,日本,未知分类,半球,1.01-1.10,诱上/阻下,1,1,0,0,0,0,1.0,0.0,1.06,1.06,1.06,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,日本,未知分类,半球/一球,>1.10,诱上/阻下,1,0,0,0,0,1,0.0,1.0,-1.0,1.12,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,日本,未知分类,平手/半球,0.81-0.90,降温保护/诱下,2,2,0,0,0,0,1.0,0.0,1.65,0.825,0.825,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,日本,未知分类,半球,0.91-1.00,降温保护/诱下,1,1,0,0,0,0,1.0,0.0,0.92,0.92,0.92,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,韩国,未知分类,平手/半球,0.81-0.90,降温保护/诱下,1,1,0,0,0,0,1.0,0.0,0.82,0.82,0.82,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,其他系列,中国,未知分类,半球,0.91-1.00,真实示强/阻上,1,1,0,0,0,0,1.0,0.0,0.99,0.99,0.99,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,欧洲五大系列,意大利,未知分类,平手,0.81-0.90,诱上/阻下,2,2,0,0,0,0,1.0,0.0,1.72,0.86,0.86,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,欧洲五大系列,意大利,未知分类,半球,0.91-1.00,诱上/阻下,2,0,0,0,0,2,0.0,1.0,-2.0,0.975,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,欧洲五大系列,意大利,未知分类,平手/半球,0.91-1.00,诱下/上盘降温,2,1,0,0,1,0,0.6667,0.3333,0.48,0.98,0.24,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,欧洲五大系列,意大利,未知分类,平手/半球,0.91-1.00,诱上/阻下,3,2,0,0,0,1,0.6667,0.3333,0.93,0.9767,0.31,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,厄瓜多尔,未知分类,半球/一球,0.81-0.90,诱上/阻下,2,0,1,0,0,1,0.3333,0.6667,-0.585,0.835,-0.2925,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,西亚/中亚系列,沙特,未知分类,平手/半球,0.81-0.90,诱上/阻下,1,1,0,0,0,0,1.0,0.0,0.84,0.84,0.84,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,哥伦比亚,未知分类,平手/半球,0.91-1.00,诱下/上盘降温,2,1,0,0,0,1,0.5,0.5,-0.03,0.98,-0.015,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
