match_id,list_date,side,team,market_side,signed_handicap,water,W,HW,P,HL,L,EV_mean,EV_p10,P_EV_gt_0,mirror_status,real_money,diagnostic_only,status
3014517,2026-09-20,giving,艾斯马度华,让球方/上盘,0.25,0.98,0.0,0.0,0.0,0.0,0.0,-0.010208333333333375,-0.07452322235960526,0.4182,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3014517,2026-09-20,receiving,莱昂文体,受让方/下盘,0.25,0.78,0.0,0.0,0.0,0.0,0.0,-0.09184027777777776,-0.1507284944247675,0.0244,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3014895,2026-09-20,giving,艾基史拉斯,让球方/上盘,0.25,0.91,0.0,0.0,0.0,0.0,0.0,-0.0398611111111111,-0.10314462523697768,0.203,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3014895,2026-09-20,receiving,亚古拉斯,受让方/下盘,0.25,0.85,0.0,0.0,0.0,0.0,0.0,-0.06206597222222221,-0.12436044491438963,0.1022,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3043383,2026-09-20,giving,HSC汉诺威,让球方/上盘,0.25,1.11,0.0,0.0,0.0,0.0,0.0,0.04486111111111113,-0.026217859850055814,0.7878,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3043383,2026-09-20,receiving,汉堡青年队,受让方/下盘,0.25,0.74,0.0,0.0,0.0,0.0,0.0,-0.10885416666666664,-0.16938984766371967,0.0068,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3005397,2026-09-20,giving,洛克伦,让球方/上盘,0.5,0.95,0.0,0.0,0.0,0.0,0.0,-0.030571428571428583,-0.12574524431252343,0.3298,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3005397,2026-09-20,receiving,维尔通,受让方/下盘,0.5,0.91,0.0,0.0,0.0,0.0,0.0,-0.0395428571428571,-0.1319309404590095,0.2804,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2920148,2026-09-20,giving,埃斯基尔斯蒂纳,让球方/上盘,1.0,0.82,0.0,0.0,0.0,0.0,0.0,-0.12973684210526315,-0.2511799296270293,0.079,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2920148,2026-09-20,receiving,耶夫勒,受让方/下盘,1.0,0.88,0.0,0.0,0.0,0.0,0.0,0.015263157894736812,-0.10527839611384071,0.5582,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2920152,2026-09-20,giving,斯德哥尔摩国际,让球方/上盘,1.25,0.67,0.0,0.0,0.0,0.0,0.0,-0.13377358490566035,-0.26020691460931233,0.0918,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2920152,2026-09-20,receiving,卡尔堡斯,受让方/下盘,1.25,1.03,0.0,0.0,0.0,0.0,0.0,0.0033018867924528017,-0.1511008777341608,0.5186,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2998249,2026-09-20,giving,奥胡斯,让球方/上盘,0.75,1.05,0.0,0.0,0.0,0.0,0.0,0.008958333333333401,-0.09972980501616363,0.5378,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2998249,2026-09-20,receiving,霍森斯,受让方/下盘,0.75,0.84,0.0,0.0,0.0,0.0,0.0,-0.05816666666666667,-0.15491757684050464,0.2138,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2940191,2026-09-20,giving,雷加塔斯巴西,让球方/上盘,1.5,0.97,0.0,0.0,0.0,0.0,0.0,0.1696875,-0.06127469504036942,0.8322,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2940191,2026-09-20,receiving,庞特普雷塔,受让方/下盘,1.5,0.92,0.0,0.0,0.0,0.0,0.0,-0.21999999999999997,-0.42946310245820923,0.1012,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2948605,2026-09-20,giving,布列斯特迪纳摩,让球方/上盘,1.0,0.86,0.0,0.0,0.0,0.0,0.0,-0.11552631578947364,-0.23484484103139605,0.0996,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2948605,2026-09-20,receiving,特兰斯迈,受让方/下盘,1.0,0.98,0.0,0.0,0.0,0.0,0.0,0.05736842105263157,-0.06468972972424913,0.727,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3030160,2026-09-20,giving,文尼沙BB,让球方/上盘,0.5,1.03,0.0,0.0,0.0,0.0,0.0,0.009199999999999986,-0.09182302772945433,0.5406,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3030160,2026-09-20,receiving,伊斯坦堡士邦,受让方/下盘,0.5,0.83,0.0,0.0,0.0,0.0,0.0,-0.0797714285714286,-0.16880331185250447,0.1214,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3034787,2026-09-20,giving,勒沃库森女足,让球方/上盘,1.0,0.67,0.0,0.0,0.0,0.0,0.0,-0.18302631578947365,-0.29226813743643465,0.0132,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3034787,2026-09-20,receiving,费雷堡女足,受让方/下盘,1.0,1.03,0.0,0.0,0.0,0.0,0.0,0.07842105263157895,-0.055155336690382806,0.7748,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3013703,2026-09-20,giving,皇家马德里,让球方/上盘,0.5,0.99,0.0,0.0,0.0,0.0,0.0,-0.010685714285714298,-0.10783192967360072,0.436,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3013703,2026-09-20,receiving,马德里竞技,受让方/下盘,0.5,0.9,0.0,0.0,0.0,0.0,0.0,-0.04457142857142854,-0.13773548803245855,0.264,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3014081,2026-09-20,giving,巴拉多利德,让球方/上盘,0.25,1.06,0.0,0.0,0.0,0.0,0.0,0.023680555555555594,-0.045794897787358735,0.662,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3014081,2026-09-20,receiving,休达,受让方/下盘,0.25,0.83,0.0,0.0,0.0,0.0,0.0,-0.07057291666666671,-0.13089356865751334,0.0676,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3023487,2026-09-20,giving,阿马多拉,让球方/上盘,0.25,0.85,0.0,0.0,0.0,0.0,0.0,-0.0652777777777778,-0.12559646209208183,0.0836,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3023487,2026-09-20,receiving,维塞乌,受让方/下盘,0.25,1.04,0.0,0.0,0.0,0.0,0.0,0.01874999999999999,-0.04847825360800012,0.6444,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3023493,2026-09-20,giving,吉马良斯,让球方/上盘,1.0,0.84,0.0,0.0,0.0,0.0,0.0,-0.12263157894736842,-0.24111613221374953,0.0924,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3023493,2026-09-20,receiving,摩里伦斯,受让方/下盘,1.0,1.05,0.0,0.0,0.0,0.0,0.0,0.08684210526315789,-0.0433444005482041,0.8048,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3000826,2026-09-20,giving,卢加诺,让球方/上盘,0.5,0.97,0.0,0.0,0.0,0.0,0.0,-0.02062857142857144,-0.11507248821616434,0.3958,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3000826,2026-09-20,receiving,洛桑,受让方/下盘,0.5,0.92,0.0,0.0,0.0,0.0,0.0,-0.034514285714285664,-0.12802992013461095,0.3112,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2912276,2026-09-20,giving,哈马比,让球方/上盘,1.5,0.92,0.0,0.0,0.0,0.0,0.0,0.14,-0.071300013953628,0.8012,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2912276,2026-09-20,receiving,代格福什,受让方/下盘,1.5,0.97,0.0,0.0,0.0,0.0,0.0,-0.19968750000000002,-0.40808789384541017,0.1204,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3026057,2026-09-20,giving,曼海姆,让球方/上盘,0.25,0.88,0.0,0.0,0.0,0.0,0.0,-0.052569444444444474,-0.11597996829449095,0.1374,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3026057,2026-09-20,receiving,普鲁士明斯特,受让方/下盘,0.25,0.98,0.0,0.0,0.0,0.0,0.0,-0.006770833333333337,-0.07499209403549006,0.4482,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2933149,2026-09-20,giving,费尔干纳夫兹,让球方/上盘,0.25,0.86,0.0,0.0,0.0,0.0,0.0,-0.06104166666666669,-0.12170273888412045,0.104,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2933149,2026-09-20,receiving,塔什干火车头,受让方/下盘,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.001736111111111105,-0.06586444405929298,0.5092,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3078055,2026-09-20,giving,拉斯洛查斯,让球方/上盘,0.5,0.74,0.0,0.0,0.0,0.0,0.0,-0.13497142857142858,-0.2195743958254896,0.0214,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3078055,2026-09-20,receiving,CD 加拉帕加尔,受让方/下盘,0.5,0.96,0.0,0.0,0.0,0.0,0.0,-0.014400000000000024,-0.10975141414255957,0.426,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3093190,2026-09-20,giving,旧金山市U19,让球方/上盘,0.5,0.85,0.0,0.0,0.0,0.0,0.0,-0.0802857142857143,-0.16938304154888162,0.1306,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3093190,2026-09-20,receiving,克尔姆CFU19,受让方/下盘,0.5,0.85,0.0,0.0,0.0,0.0,0.0,-0.06971428571428573,-0.15724283847400783,0.1672,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2996159,2026-09-20,giving,奈梅亨,让球方/上盘,0.25,0.93,0.0,0.0,0.0,0.0,0.0,-0.03138888888888888,-0.0960222199137441,0.2568,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2996159,2026-09-20,receiving,前进之鹰,受让方/下盘,0.25,0.96,0.0,0.0,0.0,0.0,0.0,-0.015277777777777779,-0.07982214438373281,0.3796,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3055056,2026-09-20,giving,坎塔布力亚,让球方/上盘,0.25,0.93,0.0,0.0,0.0,0.0,0.0,-0.03138888888888888,-0.09469295411509193,0.2614,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3055056,2026-09-20,receiving,亚摩勒比塔,受让方/下盘,0.25,0.77,0.0,0.0,0.0,0.0,0.0,-0.09609374999999998,-0.15530206812590536,0.018,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2996473,2026-09-20,giving,布雷达,让球方/上盘,0.5,1.0,0.0,0.0,0.0,0.0,0.0,-0.005714285714285727,-0.10262033447739982,0.4786,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2996473,2026-09-20,receiving,格拉夫夏普,受让方/下盘,0.5,0.88,0.0,0.0,0.0,0.0,0.0,-0.054628571428571415,-0.14853455600446386,0.2162,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2998488,2026-09-20,giving,索非亚中央陆军,让球方/上盘,1.0,0.99,0.0,0.0,0.0,0.0,0.0,-0.06934210526315787,-0.19637964146091097,0.2428,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2998488,2026-09-20,receiving,普罗夫迪夫火车头,受让方/下盘,1.0,0.87,0.0,0.0,0.0,0.0,0.0,0.01105263157894737,-0.11130830757380228,0.551,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3010640,2026-09-20,giving,萨尔茨堡,让球方/上盘,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.06578947368421051,-0.1929608799080147,0.2628,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3010640,2026-09-20,receiving,格拉茨风暴,受让方/下盘,1.0,0.89,0.0,0.0,0.0,0.0,0.0,0.01947368421052631,-0.09924880998816671,0.5848,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3036439,2026-09-20,giving,AEK雅典,让球方/上盘,1.75,1.0,0.0,0.0,0.0,0.0,0.0,0.057142857142857106,-0.13205088931322656,0.6566,W↔L;HW↔HL;P↔P,False,True,COMPUTED
