match_id,match,list_date,decision_at,rule_version,action,selected_team,selected_side,direction,line,water,probability,threshold,risk,reason,top5_status,frozen,source_card,competition,kickoff,home_team,away_team
3023789,葡萄牙体育B队 vs 鲁席塔尼亚FC,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,平手/半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,葡甲,2026-9-15 01:00 北京时间（东8区）,葡萄牙体育B队,鲁席塔尼亚FC
2914701,奥斯特桑斯 vs 赫尔辛堡,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,可投,奥斯特桑斯（反向=上盘）,upper,反向,半球,0.84,0.5760000000000001,0.5634782608695653,状态A-正常态,通过：综合胜率57.6% >= 阈值56.3%；风控状态A-正常态,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,瑞典甲,2026-9-15 01:05 北京时间（东8区）,奥斯特桑斯,赫尔辛堡
3023484,里奥阿维 vs 阿马多拉,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,平手,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,葡超,2026-9-15 01:45 北京时间（东8区）,里奥阿维,阿马多拉
3071665,波士顿河 vs 芬斯,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,,0,0,0,,亚盘盘口/两边水位缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,乌拉杯,2026-9-15 02:00 北京时间（东8区）,波士顿河,芬斯
3071905,阿比尔 vs 艾卡尔玛,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,,0,0,0,,亚盘盘口/两边水位缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,伊拉联,2026-9-15 02:00 北京时间（东8区）,阿比尔,艾卡尔玛
3068928,卡达西亚 vs 迪拜祈祷,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,球半,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚冠精英,2026-9-15 02:15 北京时间（东8区）,卡达西亚,迪拜祈祷
3068929,吉达国民 vs 塔什干棉农,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,两球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚冠精英,2026-9-15 02:15 北京时间（东8区）,吉达国民,塔什干棉农
3068925,德黑兰独立(中) vs 萨德,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚冠精英,2026-9-15 02:15 北京时间（东8区）,德黑兰独立(中),萨德
3014068,塞尔塔B队 vs 埃瓦尔,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,平手/半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,西乙,2026-9-15 02:30 北京时间（东8区）,塞尔塔B队,埃瓦尔
2993788,国际米兰 vs 乌迪内斯,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,两球,0.93,0.512,0.5381347150259067,状态A-正常态,标签历史与微观组合无正期望方向,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,意甲,2026-9-15 02:45 北京时间（东8区）,国际米兰,乌迪内斯
2997723,红星 vs 梅斯,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,可投,红星（反向=上盘）,upper,反向,平手,0.82,0.584,0.5694505494505495,状态A-正常态,通过：综合胜率58.4% >= 阈值56.9%；风控状态A-正常态,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,法乙,2026-9-15 02:45 北京时间（东8区）,红星,梅斯
